iter	Passed	Remaining
0	7	9620
1	8	5722
2	10	4375
3	11	3674
4	12	3261
5	13	2970
6	14	2652
7	15	2526
8	16	2430
9	17	2324
10	19	2249
11	20	2179
12	21	2123
13	22	2078
14	23	2026
15	24	1992
16	25	1955
17	26	1921
18	28	1900
19	28	1838
20	29	1814
21	30	1799
22	31	1771
23	32	1750
24	33	1731
25	35	1720
26	36	1717
27	37	1704
28	38	1681
29	39	1676
30	40	1666
31	41	1658
32	43	1664
33	44	1655
34	45	1646
35	46	1638
36	47	1629
37	48	1622
38	49	1615
39	50	1605
40	52	1604
41	53	1604
42	54	1603
43	55	1597
44	56	1591
45	58	1588
46	59	1587
47	60	1587
48	61	1583
49	62	1579
50	64	1573
51	65	1570
52	66	1568
53	67	1563
54	68	1561
55	69	1558
56	70	1552
57	72	1548
58	73	1544
59	74	1542
60	75	1538
61	76	1536
62	77	1531
63	78	1528
64	80	1525
65	81	1522
66	81	1511
67	82	1507
68	83	1503
69	85	1501
70	86	1498
71	87	1498
72	88	1495
73	89	1494
74	91	1493
75	92	1490
76	93	1489
77	94	1484
78	95	1482
79	96	1479
80	97	1476
81	98	1466
82	99	1467
83	100	1465
84	102	1463
85	103	1462
86	104	1459
87	105	1455
88	106	1454
89	107	1451
90	108	1447
91	109	1444
92	110	1444
93	111	1440
94	113	1438
95	114	1437
96	115	1435
97	116	1433
98	117	1430
99	118	1429
100	120	1431
101	121	1431
102	122	1429
103	123	1426
104	124	1418
105	125	1417
106	126	1415
107	127	1416
108	128	1413
109	130	1412
110	131	1409
111	132	1406
112	133	1404
113	134	1402
114	135	1399
115	136	1398
116	137	1397
117	138	1395
118	139	1393
119	141	1393
120	142	1392
121	143	1392
122	145	1392
123	146	1390
124	147	1391
125	148	1389
126	149	1387
127	150	1386
128	152	1385
129	153	1382
130	154	1380
131	155	1381
132	156	1379
133	157	1378
134	158	1376
135	160	1374
136	161	1372
137	162	1371
138	163	1370
139	164	1369
140	165	1367
141	166	1365
142	167	1363
143	169	1362
144	170	1361
145	171	1359
146	172	1358
147	173	1357
148	174	1356
149	176	1354
150	177	1352
151	178	1351
152	179	1349
153	180	1346
154	181	1345
155	182	1344
156	183	1342
157	184	1340
158	185	1338
159	187	1337
160	188	1336
161	189	1335
162	190	1334
163	191	1330
164	192	1328
165	193	1327
166	194	1326
167	195	1324
168	197	1323
169	198	1322
170	199	1320
171	200	1320
172	201	1319
173	203	1319
174	204	1318
175	205	1316
176	206	1316
177	207	1314
178	209	1314
179	210	1312
180	211	1310
181	212	1308
182	213	1307
183	214	1305
184	215	1304
185	216	1302
186	217	1300
187	219	1300
188	220	1298
189	221	1296
190	222	1295
191	223	1293
192	224	1292
193	225	1290
194	226	1288
195	227	1287
196	228	1284
197	229	1283
198	230	1282
199	232	1281
200	233	1279
201	234	1278
202	235	1276
203	236	1274
204	237	1273
205	238	1271
206	239	1270
207	240	1268
208	242	1268
209	243	1267
210	244	1266
211	244	1261
212	246	1260
213	247	1259
214	248	1258
215	249	1257
216	250	1255
217	251	1253
218	252	1252
219	253	1250
220	254	1249
221	256	1248
222	257	1246
223	258	1246
224	259	1245
225	260	1243
226	261	1243
227	263	1241
228	264	1240
229	265	1238
230	266	1237
231	267	1235
232	268	1235
233	269	1234
234	271	1233
235	272	1232
236	273	1231
237	274	1230
238	275	1228
239	276	1227
240	277	1224
241	278	1222
242	279	1220
243	280	1219
244	281	1218
245	282	1216
246	284	1215
247	285	1214
248	286	1213
249	287	1212
250	288	1210
251	289	1209
252	290	1208
253	292	1207
254	293	1205
255	294	1204
256	295	1202
257	296	1201
258	297	1200
259	298	1198
260	299	1198
261	300	1194
262	301	1192
263	318	1256
264	320	1255
265	321	1254
266	322	1252
267	323	1251
268	324	1250
269	325	1248
270	327	1246
271	328	1245
272	329	1243
273	330	1242
274	331	1240
275	332	1238
276	333	1237
277	334	1233
278	335	1232
279	336	1230
280	337	1229
281	338	1227
282	339	1226
283	340	1224
284	342	1222
285	343	1221
286	344	1220
287	345	1218
288	346	1216
289	347	1215
290	348	1214
291	349	1212
292	351	1211
293	352	1210
294	353	1208
295	354	1206
296	355	1205
297	356	1203
298	357	1202
299	358	1201
300	360	1200
301	361	1199
302	362	1198
303	364	1197
304	365	1196
305	366	1194
306	367	1193
307	368	1191
308	369	1189
309	370	1188
310	371	1186
311	372	1185
312	373	1183
313	374	1182
314	375	1178
315	376	1177
316	377	1176
317	378	1174
318	379	1172
319	380	1171
320	382	1170
321	382	1168
322	384	1166
323	385	1165
324	386	1164
325	387	1162
326	388	1161
327	390	1160
328	391	1158
329	392	1157
330	393	1156
331	394	1155
332	395	1152
333	396	1150
334	397	1149
335	398	1147
336	399	1146
337	400	1145
338	402	1144
339	403	1142
340	404	1141
341	405	1140
342	406	1138
343	407	1137
344	408	1136
345	409	1135
346	411	1133
347	412	1132
348	413	1131
349	414	1129
350	415	1128
351	416	1127
352	417	1125
353	419	1124
354	420	1123
355	421	1122
356	422	1122
357	424	1120
358	425	1119
359	426	1118
360	427	1117
361	429	1116
362	430	1115
363	431	1114
364	432	1111
365	433	1110
366	434	1108
367	435	1107
368	436	1106
369	437	1104
370	438	1103
371	439	1101
372	440	1100
373	441	1099
374	443	1098
375	444	1096
376	445	1095
377	446	1093
378	447	1092
379	448	1091
380	449	1089
381	451	1088
382	452	1087
383	453	1086
384	454	1085
385	455	1084
386	457	1083
387	458	1082
388	459	1079
389	460	1078
390	461	1077
391	462	1076
392	463	1075
393	464	1073
394	466	1072
395	467	1071
396	468	1069
397	469	1068
398	470	1067
399	471	1065
400	472	1064
401	473	1063
402	474	1061
403	475	1060
404	476	1058
405	477	1057
406	479	1055
407	480	1054
408	481	1053
409	482	1052
410	483	1051
411	485	1050
412	486	1048
413	487	1047
414	488	1046
415	489	1045
416	490	1044
417	492	1043
418	493	1041
419	494	1041
420	496	1040
421	497	1039
422	498	1038
423	499	1037
424	500	1036
425	502	1034
426	503	1033
427	504	1032
428	505	1031
429	506	1029
430	507	1028
431	508	1027
432	510	1026
433	511	1024
434	511	1022
435	513	1021
436	514	1020
437	515	1018
438	516	1017
439	517	1016
440	518	1014
441	519	1013
442	520	1011
443	520	1008
444	522	1007
445	523	1006
446	524	1004
447	525	1003
448	526	1002
449	527	1001
450	528	999
451	529	998
452	530	996
453	531	995
454	532	994
455	533	992
456	534	991
457	536	990
458	537	988
459	538	987
460	538	985
461	540	984
462	541	983
463	542	982
464	543	980
465	544	979
466	545	978
467	546	976
468	547	975
469	548	974
470	549	972
471	551	971
472	552	970
473	553	968
474	554	967
475	555	966
476	556	965
477	558	964
478	559	963
479	560	962
480	561	960
481	562	959
482	563	958
483	564	957
484	566	955
485	567	954
486	568	953
487	569	952
488	570	951
489	571	949
490	572	948
491	574	947
492	575	946
493	576	945
494	577	943
495	578	942
496	579	941
497	580	938
498	580	936
499	581	935
500	582	934
501	583	932
502	584	931
503	585	929
504	587	928
505	588	927
506	589	926
507	590	925
508	591	924
509	592	922
510	594	921
511	595	920
512	596	919
513	597	918
514	598	917
515	600	916
516	601	915
517	602	914
518	603	912
519	604	910
520	605	909
521	606	908
522	607	907
523	608	906
524	610	905
525	611	904
526	612	903
527	613	901
528	614	900
529	616	899
530	617	898
531	618	897
532	619	896
533	620	895
534	621	893
535	622	892
536	623	891
537	625	889
538	626	888
539	627	887
540	628	886
541	629	884
542	629	882
543	630	881
544	631	880
545	633	878
546	634	877
547	635	876
548	636	875
549	637	873
550	638	872
551	639	871
552	640	870
553	641	868
554	642	867
555	643	866
556	644	864
557	645	863
558	647	862
559	648	861
560	649	859
561	650	858
562	651	857
563	652	856
564	653	854
565	654	853
566	655	851
567	656	850
568	657	849
569	658	848
570	659	846
571	660	845
572	661	844
573	662	843
574	664	842
575	665	840
576	666	839
577	667	838
578	668	837
579	669	835
580	670	834
581	671	833
582	673	832
583	674	831
584	675	830
585	676	828
586	677	827
587	678	826
588	679	825
589	680	824
590	682	822
591	683	821
592	684	820
593	685	819
594	686	817
595	687	816
596	688	814
597	689	813
598	690	812
599	691	811
600	692	810
601	693	808
602	694	807
603	695	806
604	696	805
605	698	803
606	699	802
607	700	801
608	701	800
609	702	799
610	703	798
611	704	796
612	705	795
613	707	794
614	708	793
615	709	792
616	710	791
617	712	790
618	714	790
619	715	789
620	716	788
621	717	787
622	718	785
623	719	784
624	721	783
625	722	782
626	722	780
627	723	779
628	724	777
629	726	777
630	727	775
631	728	774
632	729	773
633	730	771
634	731	770
635	732	768
636	733	767
637	734	766
638	735	765
639	736	764
640	737	762
641	738	761
642	739	760
643	740	759
644	742	758
645	743	757
646	744	755
647	745	755
648	746	753
649	748	752
650	749	751
651	750	750
652	751	749
653	752	747
654	753	746
655	754	745
656	755	744
657	757	743
658	758	742
659	759	740
660	760	739
661	761	738
662	762	737
663	763	736
664	764	734
665	765	733
666	767	732
667	768	731
668	769	730
669	770	728
670	771	727
671	772	726
672	773	725
673	774	724
674	775	723
675	777	721
676	778	720
677	779	719
678	780	718
679	781	717
680	782	716
681	784	715
682	785	713
683	786	712
684	787	711
685	788	710
686	789	709
687	790	708
688	792	706
689	793	705
690	794	704
691	795	703
692	796	702
693	797	701
694	798	700
695	800	699
696	801	697
697	802	696
698	803	695
699	804	694
700	805	692
701	806	691
702	807	690
703	809	689
704	810	688
705	811	687
706	812	686
707	813	684
708	814	683
709	816	682
710	817	681
711	818	680
712	819	679
713	820	678
714	821	676
715	822	675
716	823	674
717	824	673
718	826	672
719	827	671
720	828	669
721	829	668
722	830	667
723	831	666
724	832	665
725	833	663
726	835	662
727	836	661
728	837	660
729	838	659
730	839	657
731	840	656
732	840	655
733	841	653
734	843	652
735	844	651
736	845	650
737	846	649
738	847	648
739	848	646
740	849	645
741	850	644
742	852	643
743	853	642
744	854	640
745	855	639
746	856	638
747	857	637
748	858	636
749	859	635
750	860	633
751	862	632
752	863	631
753	864	630
754	865	629
755	866	628
756	867	627
757	869	625
758	870	624
759	871	623
760	872	622
761	873	621
762	874	620
763	875	619
764	876	617
765	878	616
766	879	615
767	880	614
768	881	613
769	882	612
770	883	610
771	884	609
772	886	608
773	887	607
774	888	606
775	889	605
776	890	603
777	891	602
778	892	601
779	893	600
780	894	599
781	895	598
782	897	596
783	898	595
784	899	594
785	900	593
786	901	592
787	902	591
788	903	589
789	904	588
790	906	587
791	907	586
792	908	585
793	909	584
794	910	583
795	911	581
796	913	580
797	914	579
798	915	578
799	916	577
800	917	576
801	918	575
802	919	573
803	921	572
804	922	571
805	923	570
806	924	569
807	925	568
808	926	567
809	928	566
810	929	564
811	930	563
812	931	562
813	932	561
814	933	559
815	934	558
816	935	557
817	936	556
818	937	555
819	938	554
820	939	552
821	941	551
822	942	550
823	943	549
824	944	548
825	945	547
826	946	545
827	947	544
828	949	543
829	950	542
830	951	541
831	952	540
832	953	539
833	954	537
834	955	536
835	956	535
836	957	534
837	958	533
838	959	531
839	960	530
840	961	529
841	962	528
842	964	527
843	965	526
844	966	525
845	967	523
846	968	522
847	969	521
848	971	520
849	972	519
850	973	518
851	974	516
852	975	515
853	976	514
854	977	513
855	978	512
856	979	511
857	981	509
858	982	508
859	983	507
860	984	506
861	985	505
862	986	504
863	987	502
864	988	501
865	989	500
866	990	499
867	991	498
868	992	497
869	994	495
870	995	494
871	996	493
872	997	492
873	998	491
874	999	490
875	1000	488
876	1002	487
877	1003	486
878	1004	485
879	1005	484
880	1006	483
881	1007	482
882	1008	480
883	1009	479
884	1011	478
885	1012	477
886	1013	476
887	1014	475
888	1015	474
889	1016	473
890	1018	471
891	1019	470
892	1020	469
893	1021	468
894	1022	467
895	1024	466
896	1025	465
897	1026	464
898	1027	463
899	1028	461
900	1030	460
901	1031	459
902	1032	458
903	1033	457
904	1034	456
905	1035	455
906	1036	453
907	1038	452
908	1039	451
909	1040	450
910	1041	449
911	1042	448
912	1043	446
913	1044	445
914	1045	444
915	1046	443
916	1048	442
917	1049	441
918	1050	439
919	1051	438
920	1052	437
921	1053	436
922	1054	435
923	1056	434
924	1057	433
925	1058	431
926	1059	430
927	1060	429
928	1061	428
929	1062	427
930	1063	426
931	1064	424
932	1065	423
933	1067	422
934	1068	421
935	1069	420
936	1070	419
937	1071	418
938	1072	416
939	1073	415
940	1075	414
941	1076	413
942	1077	412
943	1078	411
944	1079	410
945	1080	409
946	1081	407
947	1082	406
948	1084	405
949	1085	404
950	1086	403
951	1087	402
952	1088	401
953	1089	399
954	1090	398
955	1092	397
956	1093	396
957	1094	395
958	1095	394
959	1096	392
960	1097	391
961	1098	390
962	1099	389
963	1100	388
964	1102	387
965	1103	386
966	1104	384
967	1105	383
968	1106	382
969	1107	381
970	1109	380
971	1110	379
972	1111	378
973	1112	376
974	1113	375
